Status,Problem ,Solution,Topic,Sub Topic,Difficulty,Remarks,Link
Yes,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Binary%20Trees/Path%20Based/Longest_Zig_Zag_Path.py,Binary Trees,Path Based,Medium,,
Yes,https://leetcode.com/problems/path-sum-iii,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Binary%20Trees/Path%20Based/Path_III_Subarray_sum_kind_in_BT.py,Binary Trees,Path Based,Medium,,
Yes,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Binary%20Trees/Traversal_View_Based/Maximum_lvl_sum.py,Binary Trees,Traversal View Based,Medium,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Binary%20Trees/Traversal_View_Based/level_order.py,Binary Trees,Traversal View Based,,,
Yes,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Binary%20Trees/Tree_to_Graphs/Good_pairs_of_nodes.py,Binary Trees,Tree to Graphs,Medium,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Binary_Search/0_lower_upper_bound.py,Binary Search,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Binary_Search/README.md,Binary Search,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Binary_Search/Smallest_k_num_in_sum.py,Binary Search,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/CSES/DP/1633_Dice_Combinations.py,CSES,DP,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/CSES/DP/1634_Minimise_Coins.py,CSES,DP,,,
Yes,https://codeforces.com/blog/entry/70018,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/CSES/README.md,CSES,,,,
Yes,https://cses.fi/problemset/result/10853335/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/CSES/Trees/Subtree_Queries.py,CSES,Trees,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/CSES/Trees/Subtree_Queries_IN.txt,CSES,Trees,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/CSES/input.txt,CSES,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/CSES/template.py,CSES,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Arrays.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Binary_Search.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Binary_Search_Refresher.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Binary_Search_Trees.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Binary_Trees.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Bit_Manipulation.md,Cheatsheets,,,,
Yes,https://codeforces.com/blog/entry/70018,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/CSES.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Codeforces_Practice.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Dynamic_Programming.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Fenwick_Trees.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Graphs.md,Cheatsheets,,,,
Yes,https://www.geeksforgeeks.org/problems/n-meetings-in-one-room-1587115620/1,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Greedy.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Heaps.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/LC_75_Miscellaneous.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Leetcode_contests.md,Cheatsheets,,Hard,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/LinkedList.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Math.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Notes.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Others.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Prefix_Partial_Sums.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/README.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Randomized_Algos.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Recursion_Backtracking.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Segment_Trees.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Stacks_Queues.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Strings.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Sweep_Lines.md,Cheatsheets,,,,
